ID,T,C,V,R 
1.0 , dev1 , td , Thu Nov 14 02:17:46 2013 , Thu Nov 14 02:17:46 2013
2.0 , dev1 , msg , 2.0 , Thu Nov 14 02:17:46 2013
3.0 , dev1 , td , Thu Nov 14 02:18:03 2013 , Thu Nov 14 02:18:03 2013
4.0 , dev1 , msg , 10.0 , Thu Nov 14 02:18:03 2013
5.0 , dev1 , td , Thu Nov 14 02:18:23 2013 , Thu Nov 14 02:18:23 2013
6.0 , dev1 , msg , 5.0 , Thu Nov 14 02:18:23 2013
7.0 , dev1 , td , Thu Nov 14 02:18:43 2013 , Thu Nov 14 02:18:43 2013
8.0 , dev1 , msg , 0 , Thu Nov 14 02:18:43 2013
9.0 , dev1 , td , Thu Nov 14 02:19:03 2013 , Thu Nov 14 02:19:03 2013
10.0 , dev1 , msg , 7.0 , Thu Nov 14 02:19:03 2013
11.0 , dev1 , td , Thu Nov 14 02:19:23 2013 , Thu Nov 14 02:19:23 2013
12.0 , dev1 , msg , 0 , Thu Nov 14 02:19:23 2013
