v1,v2,v3,v4,v5,v6
PConcordia,,CHAIN,KRI(name):(employer-contacts):!!KRI(name):(employer-contacts):!!0,,
PConcordia,,CHAIN,KRI(name):(employer-contacts):!!KRI(name):(employer-contacts):!!0,,1589321449.06
PConcordia,KRI(identifier):(BBB):::1589321450.02,CHAIN,KRI(pickup):(49):::1589321450.05!!KRI(pickup):(49):::1589321450.05!!KRI(identifier):(BBB):::1589321450.02!!KRI(identifier):(Spqr):::1589321449.54!!KRI(pickup):(30):::1589321449.53!!KRI(name):(employer-contacts):!!0,,
PConcordia,KRI(identifier):(BBB):::1589321450.02,CHAIN,KRI(pickup):(49):::1589321450.05!!KRI(pickup):(49):::1589321450.05!!KRI(identifier):(BBB):::1589321450.02!!KRI(identifier):(Spqr):::1589321449.54!!KRI(pickup):(30):::1589321449.53!!KRI(name):(employer-contacts):!!0,,1589321450.07
PConcordia,KRI(identifier):(BBB):::1589321450.02,CHAIN,KRI(pickup):(49):::1589321450.05!!KRI(pickup):(49):::1589321450.05!!KRI(identifier):(BBB):::1589321450.02!!KRI(identifier):(Spqr):::1589321449.54!!KRI(pickup):(30):::1589321449.53!!KRI(name):(employer-contacts):!!0,,1589321450.06
PConcordia,KRI(identifier):(BBB):::1589321450.02,CHAIN,KRI(pickup):(49):::1589321450.05!!KRI(pickup):(49):::1589321450.05!!KRI(identifier):(BBB):::1589321450.02!!KRI(identifier):(Spqr):::1589321449.54!!KRI(pickup):(30):::1589321449.53!!KRI(name):(employer-contacts):!!0,,1589321450.05
PConcordia,KRI(identifier):(BBB):::1589321450.02,CHAIN,KRI(pickup):(49):::1589321450.05!!KRI(pickup):(49):::1589321450.05!!KRI(identifier):(BBB):::1589321450.02!!KRI(identifier):(Spqr):::1589321449.54!!KRI(pickup):(30):::1589321449.53!!KRI(name):(employer-contacts):!!0,,1589321450.09
PConcordia,KRI(identifier):(BBB):::1589321450.02,CHAIN,KRI(pickup):(49):::1589321450.05!!KRI(pickup):(49):::1589321450.05!!KRI(identifier):(BBB):::1589321450.02!!KRI(identifier):(Spqr):::1589321449.54!!KRI(pickup):(30):::1589321449.53!!KRI(name):(employer-contacts):!!0,,1589321450.08
PConcordia,KRI(pickup):(32):::1589321449.56,CHAIN,KRI(identifier):(sa):::1589321449.93!!KRI(identifier):(sa):::1589321449.93!!KRI(pickup):(32):::1589321449.56!!KRI(identifier):(Spqr):::1589321449.54!!KRI(pickup):(30):::1589321449.53!!KRI(name):(employer-contacts):!!0,,
PConcordia,KRI(pickup):(32):::1589321449.56,CHAIN,KRI(identifier):(sa):::1589321449.93!!KRI(identifier):(sa):::1589321449.93!!KRI(pickup):(32):::1589321449.56!!KRI(identifier):(Spqr):::1589321449.54!!KRI(pickup):(30):::1589321449.53!!KRI(name):(employer-contacts):!!0,,1589321449.96
PConcordia,KRI(pickup):(32):::1589321449.56,CHAIN,KRI(identifier):(sa):::1589321449.93!!KRI(identifier):(sa):::1589321449.93!!KRI(pickup):(32):::1589321449.56!!KRI(identifier):(Spqr):::1589321449.54!!KRI(pickup):(30):::1589321449.53!!KRI(name):(employer-contacts):!!0,,1589321449.97
PConcordia,KRI(pickup):(32):::1589321449.56,CHAIN,KRI(identifier):(sa):::1589321449.93!!KRI(identifier):(sa):::1589321449.93!!KRI(pickup):(32):::1589321449.56!!KRI(identifier):(Spqr):::1589321449.54!!KRI(pickup):(30):::1589321449.53!!KRI(name):(employer-contacts):!!0,,1589321449.94
PConcordia,KRI(pickup):(32):::1589321449.56,CHAIN,KRI(identifier):(sa):::1589321449.93!!KRI(identifier):(sa):::1589321449.93!!KRI(pickup):(32):::1589321449.56!!KRI(identifier):(Spqr):::1589321449.54!!KRI(pickup):(30):::1589321449.53!!KRI(name):(employer-contacts):!!0,,1589321449.95
PConcordia,KRI(pickup):(32):::1589321449.56,CHAIN,KRI(identifier):(sa):::1589321449.93!!KRI(identifier):(sa):::1589321449.93!!KRI(pickup):(32):::1589321449.56!!KRI(identifier):(Spqr):::1589321449.54!!KRI(pickup):(30):::1589321449.53!!KRI(name):(employer-contacts):!!0,,1589321449.93
PConcordia,KRI(pickup):(32):::1589321449.56,CHAIN,KRI(pickup):(33):::1589321449.59!!KRI(pickup):(33):::1589321449.59!!KRI(pickup):(32):::1589321449.56!!KRI(identifier):(Spqr):::1589321449.54!!KRI(pickup):(30):::1589321449.53!!KRI(name):(employer-contacts):!!0,,
PConcordia,KRI(pickup):(32):::1589321449.56,CHAIN,KRI(pickup):(33):::1589321449.59!!KRI(pickup):(33):::1589321449.59!!KRI(pickup):(32):::1589321449.56!!KRI(identifier):(Spqr):::1589321449.54!!KRI(pickup):(30):::1589321449.53!!KRI(name):(employer-contacts):!!0,,1589321449.59
PConcordia,KRI(pickup):(32):::1589321449.56,CHAIN,KRI(pickup):(33):::1589321449.59!!KRI(pickup):(33):::1589321449.59!!KRI(pickup):(32):::1589321449.56!!KRI(identifier):(Spqr):::1589321449.54!!KRI(pickup):(30):::1589321449.53!!KRI(name):(employer-contacts):!!0,,1589321449.6
