v1,v2,v3,v4,v5,v6
ENDPOINT,11,,,,
ENDPOINT,10,,,,
ENDPOINT,15,,,,
ENDPOINT,14,,,,
ENDPOINT,17,,,,
ENDPOINT,16,,,,
ENDPOINT,19,,,,
ENDPOINT,5,,,,
ENDPOINT,6,,,,
ENDPOINT,20,,,,
ENDPOINT,21,,,,
UID,KRID(id):(x0x5)::-:!!0!!KRID(id):(sx0)::-:!!0!!KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,,,,
UID,KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,,,,
UID,KRID(id):(d-schema)::-:!!0!!KRID(id):(a-schema)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-:this is a simpler xtag xsd:-:,,,,
UID,KRID(name):(xxschema)::-:!!0!!0:-::-:,,,,
UID,KRID(id):(D-tagx0)::-:!!0!!KRID(id):(A-tagx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-:this is the beginning tag:-:,,,,
UID,KRID(id):(sx0)::-:!!0!!KRID(id):(cx0)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:,,,,
UID,KRID(DeN):(elementname)::-:!!0!!KRID(id):(x0)::-:!!0!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-::-:!!KRID(name):(xxschema)::-:!!0!!0:-::-:!!0:-:tagx0:-:,,,,
